"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Самокат: FAQ","0","Выпадающий список","8","0","","0"
"0","Самокат: Заказ и Навигация","0","Заказ","2","0","","0"
"0","Самокат: Заказ и Навигация","0","Логотип скутер","1","0","","0"
"0","Самокат: Заказ и Навигация","0","Логотип Яндекс","1","0","","0"
